Clubes,Rubrica,Atlético GO,Athletico,Atlético,Bahia,Botafogo,Ceará,Corinthians,Criciúma,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Internacional,Juventude,Mirassol,Palmeiras,Red Bull Bragantino,Santos,São Paulo,Sport,Vasco,Vitória,Média da Liga
Direitos de transmissão,(a),0,0,0,186.0,0,0,0,0,176,0,612,0,0,156.0,0,88,0,180,0,156.172,0,0,0,115,208.6465
Publicidade e patrocínio,(b),0,0,0,86.0,0,0,0,0,306,0,410,0,0,108.0,0,19,0,203,0,142.433,0,0,0,38,164.054125
Bilheteria,(c),0,0,0,117.0,0,0,0,0,69,0,142,0,0,6.0,0,3,0,67,0,32.326,0,0,0,9,55.66575
Sócio-torcedor,(d),0,0,0,0.0,0,0,0,0,51,0,88,0,0,68.0,0,7,0,74,0,57.224,0,0,0,0,43.153
Premiações,(e),0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,319,0,0.0,0,0,0,32,43.87875
Licenciamento da marca,(f),0,0,0,0.0,0,0,0,0,25,0,131,0,0,8.0,0,0,0,33,0,0.0,0,0,0,5,25.25
Outras receitas,(g),0,0,0,5.0,0,0,0,0,28,0,117,0,0,29.970000000000027,0,3,0,150,0,101.833,0,0,0,15,56.225375
RECEITA ATIVIDADE ESPORTIVA,(h)=(a)+(a')+(b)+(c)+(d)+(e)+(f)+(g),0,0,0,394.0,0,0,0,0,599,0,1500,0,0,376.0,0,120,0,1026,0,489.98800000000006,0,0,0,184,586.1235
Pessoal e encargos sociais,(i),0,0,0,340.0,0,0,0,0,362,0,525,0,0,212.0,0,59,0,526,0,261.412,0,0,0,87,296.5515
Direitos de imagem,(j),0,0,0,0.0,0,0,0,0,0,0,171,0,0,111.0,0,0,0,114,0,102.278,0,0,0,46,68.03475
Amortização de direitos esportivos,(k),0,0,0,145.0,0,0,0,0,187,0,244,0,0,102.0,0,7,0,228,0,91.272,0,0,0,11,126.909
Outros custos,(l),0,0,0,81.0,0,0,0,0,131,0,254,0,0,64.0,0,30,0,81,0,103.963,0,0,0,100,105.620375
CUSTO DA ATIVIDADE ESPORTIVA,(m) = (i)+(j)+(k)+(l),0,0,0,566.0,0,0,0,0,680,0,1194,0,0,489.0,0,96,0,949,0,558.925,0,0,0,244,597.115625
RESULTADO DA ATIVIDADE ESPORTIVA,(n) = (h) - (m),0,0,0,172.0,0,0,0,0,81,0,306,0,0,113.0,0,24,0,77,0,69.0,0,0,0,60,112.75
Negociação de atletas,(o),0,0,0,100.0,0,0,0,0,21,0,267,0,0,127.0,0,8,0,496,0,134.934,0,0,0,50,150.49175
Outras receitas operacionais,(p),0,0,0,0.0,0,0,0,0,0,0,0,0,0,225.0,0,0,0,0,0,0.0,0,0,0,34,32.375
Despesas gerais e administrativas,(q),0,0,0,41.0,0,0,0,0,10,0,182,0,0,118.0,0,10,0,191,0,48.539,0,0,0,35,79.442375
Outros,(r),0,0,0,39.0,0,0,0,0,1,0,55,0,0,10.0,0,0,0,0,0,20.946,0,0,0,5,16.36825
OUTRAS REC/DESP OPERACIONAIS,(s) = (o)+(p)+(q)+(r),0,0,0,20.0,0,0,0,0,11,0,30,0,0,244.0,0,2,0,305,0,65.449,0,0,0,44,90.181125
RESULTADO OPERACIONAL,(t)=(n)+(s),0,0,0,153.0,0,0,0,0,70,0,336,0,0,130.0,0,22,0,382,0,3.0,0,0,0,16,139.0
RESULTADO FINANCEIRO,(u),0,0,0,2.0,0,0,0,0,45,0,7,0,0,95.0,0,3,0,90,0,76.0,0,0,0,9,40.875
RESULTADO,(v)=(t)+(u),0,0,0,154.624,0,0,0,0,115,0,343,0,0,35.0,0,25,0,292,0,79.0,0,0,0,25,133.578
