Índice de Gini,2021,2022,2023,2024,2025
Receita Operacional,0.47307342939899066,0.44667164515071667,0.3663073028643944,0.3522206364271059,0.8027318050174732
Receita da Atividade Esportiva,0.45620523170766547,0.4288276071493322,0.351342108238069,0.35134837149725984,0.7964534979326616
Receita c/ Transmissão + Premiações,0.43514764986319143,0.39504496238204667,0.3933575550177788,0.3840116904463422,0.7750604293618062
Receita Comercial,0.5797267783606701,0.57169443546024,0.44732519355318834,0.49420827856738647,0.8214221603113798
Receita c/ Match-Day + Sócio-Torcedor,0.5041830230889366,0.513961649651312,0.4087439116779781,0.35714294925368706,0.7969555512536224
Custo da Atividade Esportiva,0.44235578325370395,0.47599247655050814,0.36537526068684323,0.3661054666707213,0.7759882218188634
Folha do Futebol,0.46400679379967347,0.46683194686785123,0.3386472239766818,0.3766274224460213,0.795588241320548
Folha do Futebol + Compra de Jogadores,0.4679592699999586,0.46645964902717174,0.3645442805178505,0.3329778483535535,0.7735340515854354
Pontuação Série A,0.13159688412852955,0.15406976744186052,0.13042226487523978,0.1427815206929739,0.14913544668587897
,,,,,
Razão Max/Min,2021.0,2022.0,2023.0,2024.0,2025.0
Receita Operacional,14.821533390881267,13.34743714368284,20.364507242788168,18.128593517351966,14.986910003489676
Receita da Atividade Esportiva,12.403154673153887,12.680073546311192,16.47914835433148,17.06693568577783,12.634930664375137
Receita c/ Transmissão + Premiações,12.592507914175169,7.1363292819936675,12.68929721990216,8.09377899921479,6.948360488104165
Receita Comercial,62.5774343122102,47.50669063311365,24.15623363996709,37.376767766610335,28.242512783053325
Receita c/ Match-Day + Sócio-Torcedor,106.26523702031601,42.369268292682925,66.73615384615384,24.05561043065982,26.615291395835627
Custo da Atividade Esportiva,12.641402432499913,15.019046314058647,9.225022412590896,11.321048197195879,11.79771225216065
Folha do Futebol,16.032546180391094,29.926377899959775,14.21359204556424,16.316440736878693,21.39935236197398
Folha do Futebol + Compra de Jogadores,14.691995768688292,13.469570331295778,22.36911468022113,11.692617084452227,12.996902959394356
Pontuação Série A,5.6,3.6818181818181817,2.9166666666666665,2.6333333333333333,4.647058823529412
,,,,,
Concentração C5 (Top 5),2021.0,2022.0,2023.0,2024.0,2025.0
Receita Operacional,0.5538231840646648,0.5649159831452909,0.49011751903775336,0.4695742118002362,0.9349262632174076
Receita da Atividade Esportiva,0.5434946265453195,0.5483624135336054,0.4776473597784751,0.48744607726428385,0.9253828194773902
Receita c/ Transmissão + Premiações,0.5226250572124428,0.5117900434535506,0.534788941019948,0.5073328876231314,0.8725110020775221
Receita Comercial,0.6757680546083278,0.6592351812178658,0.5577829315380063,0.6075262569988981,0.9513936726515073
Receita c/ Match-Day + Sócio-Torcedor,0.6054025118859867,0.5819604427772656,0.5009144119049699,0.45576807229840466,0.9720296129433436
Custo da Atividade Esportiva,0.5416917044583266,0.5664335764443237,0.4976441233071401,0.46343472468867947,0.9215812695317137
Folha do Futebol,0.5617758743462673,0.5558025959364301,0.45891904774838904,0.4685039395407397,0.9484069562869263
Folha do Futebol + Compra de Jogadores,0.5529201221818654,0.5778949615172148,0.4873869816846411,0.4512577212213534,0.9226289010069214
Pontuação Série A,0.32716650438169426,0.34011627906976744,0.32053742802303264,0.34167468719923005,0.34197886647454373
,,,,,
Concentração C3 (Top 3),2021.0,2022.0,2023.0,2024.0,2025.0
Receita Operacional,0.3943017601397512,0.388412426991229,0.3390089096787561,0.33447577542664864,0.7636235403365401
Receita da Atividade Esportiva,0.3886458793437315,0.4021916854267922,0.3279360365851526,0.33215312140946984,0.7424514330559485
Receita c/ Transmissão + Premiações,0.3538328160548973,0.3694995386496137,0.3643361537201099,0.3588824415980478,0.7033619614326384
Receita Comercial,0.5518753112518676,0.5176188965009595,0.43755522104181066,0.4984015447938241,0.7809801180227292
Receita c/ Match-Day + Sócio-Torcedor,0.4149849770338564,0.4208812748356063,0.3671431824398543,0.3182650249651053,0.7321709314467402
Custo da Atividade Esportiva,0.3627864905350612,0.4016345304214413,0.3228703671924679,0.30148961739715247,0.6957301841886147
Folha do Futebol,0.38602801382806656,0.3818537867116459,0.31943903016595804,0.3226594199961528,0.736412794388107
Folha do Futebol + Compra de Jogadores,0.40915367501413374,0.40499249308331003,0.33561035701004094,0.3057660111947232,0.684140816979527
Pontuação Série A,0.21518987341772153,0.21705426356589147,0.19577735124760076,0.2136669874879692,0.21613832853025935
